AD043	AD111	AD114	AD115	AD118	AD119	AD120	AD122	AD123	AD127	AD130	AD131	AD136	AD157	AD158	AD159	AD162	AD163	AD164	AD167	AD169	AD170	AD172	AD173	AD177	AD178	AD179	AD183	AD185	AD186	AD187	AD188	AD201	AD202	AD203	AD207	AD208	AD210	AD212	AD213	AD218	AD221	AD224	AD225	AD226	AD228	AD230	AD232	AD234	AD236	AD238	AD239	AD240	AD241	AD243	AD247	AD249	AD250	AD252	AD253	AD255	AD258	AD259	AD260	AD261	AD262	AD266	AD267	AD268	AD269	AD275	AD276	AD277	AD283	AD285	AD287	AD294	AD295	AD296	AD299	AD301	AD302	AD304	AD305	AD308	AD309	AD311	AD313	AD314	AD315	AD317	AD318	AD320	AD323	AD327	AD330	AD331	AD332	AD334	AD335	AD336	AD337	AD338	AD340	AD341	AD346	AD347	AD350	AD351	AD352	AD353	AD355	AD356	AD360	AD361	AD362	AD363	AD366	AD367	AD368	AD370	AD374	AD375	AD379	AD382	AD383	AD384	AD10	AD15	AD16	AD18	AD19	AD1	AD2	AD31	AD3	AD4	AD5	AD7
33.21	349.44	100.995	701.105	377.49	484.38	437.91	110.5	581.16	1074.17	11.66	19.525	260.77	7.765	30.065	116.02	178.98	13.465	6.47	35.485	-22.195	26.1167	164.34	93.19	498.7	29.26	80.43	37.79	483.34	119.46	29.7	61.44	4.91	388.79	99.225	109.17	827.22	226.93	42.3	121.44	56.45	37.33	50.05	136.2	175.25	383.725	115.24	206.82	550.7	1.32	546.73	392.54	46.18	48.03	160.26	48.88	65.89	133.27	897.49	554.77	181.307	170.77	718.61	50.025	76.75	40.445	52.69	23.57	25.72	1268.41	56.66	335.075	87.17	425.04	142.88	41.45	114.99	13.98	13.925	176	874.495	86.525	146.13	89.87	73.96	32.95	331.525	46.2	10.15	86.81	149.26	57	6.32	214.35	96.74	116.01	-26.16	27.48	236.31	45.715	31.11	174.53	95.195	45.235	15.42	461.7	97.4	73.21	58.51	144.65	51.42	-10.27	25.27	19.825	21.83	33.94	98.64	207.56	519.29	224.49	125.07	60.68	147.555	494.08	129.675	122.17	347.815	64.04	226.52	164.31	308.84	103.78	972.38	300.91	-24.14	50.5	-7.52	42.75	-23.79
492.67	311.38	179.56	248.31	302.07	501.83	256.325	462.88	279.405	292.85	275.45	165.67	381.97	257.62	340.755	166.16	208.2	172.73	243.525	513.33	157.665	360.06	343.415	279.65	154.83	232.37	324.59	528.49	196.43	279.07	269.31	623.38	260.21	357.42	352.715	180.47	322.34	335.67	462.36	209.02	426.51	315.03	101.12	578.22	344.89	167.845	299.11	387.3	266.54	136.62	362.69	450.52	612.65	328.21	266.465	335.5	118.55	320.13	123.7	138.99	277.663	193.32	335.06	394.23	271.86	352.305	577.3	689.16	193.347	274.07	163.58	151.965	77.7	287.75	266.36	258.93	411.13	239.98	192.8	244.23	98.46	391.26	142.12	142.73	344.08	747.19	436.965	314.27	338.24	179.17	336.29	355.72	1707.64	301.38	297.525	334.68	367.65	271.76	223.965	137.31	412.05	201.67	317.515	331.75	149.335	321.225	450.22	465.545	72.23	112.93	644.7	410.16	358.06	239.97	286.83	437.8	473.99	421.11	176.13	311.62	250.57	116.95	240.715	120.555	162.98	194.395	381.675	189.12	215.09	366.73	292.07	314.12	456.72	267.94	664.22	210.98	407.19	982.13	543.22
2290.93	2141	2784.31	1914.52	2860.16	2698.08	3917.21	3561.36	3328.24	2785.96	2134.14	2174.86	3104.85	2563.3	2179.61	2501.27	3785.72	2809.47	4173.66	2914.18	3786.04	3215.5	2920.98	2705.23	2874.3	2857.58	1756.6	2766.73	1408.38	2515.63	4069.67	1364.94	4384.31	2131.38	3143.62	1870.17	2504.2	2921.42	2933.48	2038.16	4232.64	3142.99	2844.08	2473.39	1917.57	2698.24	2794.72	1915	3612.8	2337.84	2602.41	2541.26	3280.37	4118.8	2899.27	4089.18	3267.42	3583.77	2615.15	4131.59	3298.97	3392.5	3586.57	4328.7	3637.58	3379.79	2343.25	1906.69	1414.05	2095.13	3310.45	3147.14	2362.54	2546.61	3297.44	2879.6	3567.17	3946.64	3384.9	3007.88	1330.38	5099.47	4473.74	3398.89	2757.18	3537.05	2693.34	2776.73	3524.95	2963.42	2283.75	3323.39	3520.26	3618.55	2624.75	3218.61	2941.56	3389.82	2514.71	4580.02	3417.44	3666.34	1938.21	2285.86	2752.38	1889.19	2054.72	3236.38	1159.8	1760.77	1268.44	4769.67	3137.71	4267.41	2696.15	3271.42	4118.47	1956.43	742.85	2418.26	2823.54	2989.64	2666.42	3022.01	2026.77	3901.59	1883.33	5348.71	3573.33	4263.12	2996.08	2333.75	4020.14	1603.12	2198.51	2850.54	4169.53	3112.39	4533.33
1158.14	861.7	1003.13	1006.68	1380.59	895.14	2321.04	1279.48	1651.82	744.57	674.74	1028.285	1573.46	1364.59	1486.03	635.62	1388.7	407.23	2049.59	764.58	1908.18	698.647	1063.57	766.99	1174.75	746.19	1234.16	1205.9	1076.64	973.55	914.7	570.51	987.31	924.82	700.53	1064.74	1129.07	1100.97	1938.33	719.46	582.89	1266.02	1314.91	973.03	736.7	1125.11	548.24	462.24	1154.57	1568.04	1221.35	1346.74	832.5	1317.88	856.005	2079.41	1681.13	1168.19	1839.26	1293.87	1539.12	1723.38	1239.97	1797.36	1473.05	1107.43	930.78	957.91	691.477	1171.43	2685.71	1134.34	1489.25	1701.23	1309.41	2500.09	1334.48	1855.16	1234.9	894.875	782.16	1060.41	1759.96	991.79	1901.56	544.87	1210.98	1567.26	1571.5	1016.79	600.64	919.88	1091.05	1480.38	1515.45	1283.47	1298.73	918.66	1035.57	1350.23	1214.18	2099.38	384.68	1252.84	1286.23	793.295	1478.71	1153.87	1085.39	1966.74	357.01	1140.57	730.98	1672.42	1137.91	1273.7	1028.81	1448.28	1042.9	1395.94	1262.97	1768.19	1149.55	1507.69	887.535	2111.64	1312.48	1509.39	1373.08	1211.45	1453.37	1380.42	660.93	784.83	1540.6	1359.1	1498.02	815.89	1108.92
8.92	17.61	13.955	39.615	-0.97	-9.56	1.735	-15.51	-4.32	42.37	-15.45	39.775	-10.69	11.185	8.745	7.36	-27.6	28.03	-9.54	-4.31	40.905	80.96	2.42	44.1	41.11	208.97	12.145	28.515	-10.16	5.48	-17.435	6.72	-6.9	64.7	43.675	13.8	39.45	17.96	0.85	23.33	7.29	30.85	29.63	5.74	11.7	37.215	210.49	5.91	143.04	5.98	8.33	10.87	5.38	14.35	40.05	-31.2	-23.31	30.34	13.27	-20.5	-40.3033	11.04	-40.13	-28.97	-47.9	9.815	29.97	8.22	10.0567	48.79	-10.64	-0.575	7.86	12.84	29.99	10.38	13.975	21.41	-0.355	-34.78	18.635	-28.655	-19.92	-21.89	-26.98	18.86	49.015	3.3	5.05	8.93	5.33	21.66	1.47	23.68	-2.885	5.35	-11.88	-29.8	-10.76	-17.15	-20.76	2.95	58.83	40	21.28	37.785	24.965	23.495	56.89	34.1	35.1	-41	-51.01	9.825	-36.25	17.01	-24.87	-12.35	30.85	-0.14	7.07	-4.49	-2.62	12.41	24.36	15.08	38.505	4.91	7.71	-40.29	10.76	-16.43	2.1	-44.14	5.8	-12.07	-39.72	8.86	-26.5
68.06	48.41	106.255	136.08	221.45	167.09	155.09	125.65	215.07	301.09	91.64	39.575	708.69	52.215	158.7	213.44	81.32	214.405	311.68	893.7	373.955	413.957	200.905	258.29	342.06	1519.42	605.95	103.27	24.86	179.57	81.885	364.79	626.35	644.38	498.26	57.97	815.93	160.92	524.14	277.64	905.12	541.04	478.05	178.02	1638.75	518.79	133.69	298.11	1151.37	454.49	180.51	249.09	298.54	825.47	2789.27	343	108.25	175.78	340.09	189.32	921.633	468.45	749.16	255.66	2431.74	2019.08	145.73	936.49	193.037	119.86	122.1	81.025	62.31	271.58	1371.22	80.93	883.035	156.72	722.985	66.06	152.44	40.145	523.41	742.75	125.4	305.83	263.17	266.5	290.11	681.88	297.28	1578.43	281.96	438.24	413.515	481.02	648.69	827.67	955.745	728.36	178.02	157.46	138.855	929.585	157.565	962.035	506.52	1938.11	318.22	223.27	332.86	696.27	1916.36	48.53	1416.58	175.33	3927.44	198.72	163.56	1672.74	677.18	46.85	57.955	875.23	171.155	72.56	78.205	1336.53	344.89	1228.48	288.09	132.67	1929.32	130.84	343.12	219.94	898.75	320.16	559.87
3828.42	3341.44	3021.26	3004.02	3190.31	2643.5	2897.51	2199.96	2380.76	2572.6	3273.51	4232.31	2076.16	3989.72	3868.32	2236.81	2837.38	3106.57	2901.37	3847.54	2906.57	3085.2	3563.13	2902.29	2833.56	2804.23	4440.06	3184.56	3004.84	3763.74	2131.67	4229.55	2609.36	3256.99	2452.94	2110.7	1770.59	3807.66	3639.92	4111.98	2731.42	3554.86	3763.62	2937.06	3553.9	4357.26	3547.51	3151.95	2328.73	3846.31	2867.22	3860.7	3319.24	2816.97	2994.01	3203.73	4016.46	2963.4	2966.97	2180.96	4138.29	3349.1	2092.59	2763.36	1943.32	3086.41	2558.37	3247.93	3101.13	2754.46	2681.52	1721.36	3543.97	2817.82	4326.39	3380.11	3073.66	3598.72	3378.97	2965.99	2920.29	3044.17	3432	2669.36	3590.73	2869.13	2180.04	3278.49	3948.91	4405.06	3115.61	3605.58	2573.06	2813.16	2526.62	3280.58	3063.04	2247.68	2021.11	3396.06	3064.14	3206.35	3235.89	3535.35	2027.91	2765.68	2811.83	2424.95	2980.2	4275.21	3664.71	2328.48	2697.56	2526.54	3616.95	3451.26	2843.31	3839.82	3590.55	3386.03	3083.26	3003.43	2323.67	3775.91	4677.25	3102.5	4402.55	2151.41	2684.39	3458.32	2252.79	2622.93	2155.52	3548.79	2958.25	2348.74	3059.09	3662.85	3169.92
176.09	2406.97	1362.06	2356.8	1878.55	3044.06	1909.2	1368.48	1670.15	3371.62	127.2	205.12	542.65	171.92	188.155	1333.66	1960.97	42.105	280.195	140.36	19.285	159.923	675.76	321.46	3123.16	167	556.545	145.555	2506.81	452.29	854.355	345.06	129	2695.95	335.75	961.38	1707.3	1001.69	246.69	325.49	588.66	69.73	317.81	654.87	1282.7	1558.77	462.15	1605.77	2219.73	97.73	2686.73	1728.27	171.6	1093.8	1314.64	1547.59	339.34	954.27	2616.11	2439.85	287.407	761.492	2599	446.615	510.83	266.35	565.48	164.14	128.47	3468.19	219.79	1899.66	852.02	2462.9	482.34	422.58	251.035	94.87	94.315	1009.86	2275.98	620.625	1026.77	1417.31	472.2	59.76	674.835	708.06	136.18	396.66	529.77	246.76	91.16	1453.35	396.78	914.02	48.51	301.59	2066.51	707.85	302.93	2066.48	295	265	26.215	2207.97	309.725	213.625	196.53	459.71	77.71	82.87	467.59	54.37	410.35	237.77	217.64	809.98	1994.19	1194.44	1045.7	384.33	1128.93	2278.73	526.275	230.955	1189.14	610.8	845.11	822.93	2294.67	604.27	2438.42	2373.63	65.65	928.42	163.03	41.31	133.67
59.96	21.86	16.37	42.75	45.61	47.79	35.035	55.99	23.675	38.84	16.93	15.795	44.46	54.18	38.805	51.1	42.72	29.47	27.71	52.3	51.66	30.5967	43.61	133.03	40.21	25.59	69.92	44.515	28.65	65.22	42.195	64.92	34.44	65.57	107.075	90.09	34.46	51.38	34.19	61.08	142.63	68.92	62.12	21.68	54.55	32.62	5.62	29.25	29.37	39.42	48.49	39.39	70.15	38.68	40.89	-3.34	34.67	23.62	19.54	28.32	7.39667	54.57	-5.71	6.27	2.83	43.975	34.3	24.47	38.19	48.79	56.66	49.965	67.05	52.12	80.15	6.18	41.645	16.46	72.56	-1.135	42.69	32.83	21.99	15.32	24.3	69.64	62.425	108.59	49.55	79.54	52.71	39.83	104.1	17.52	54.84	49.9	42.01	46.93	29.87	80.43	15.01	61.19	113.65	98.34	90.765	34.6	137.65	59.39	105.33	22.05	84.96	54.87	32.91	28.565	12.02	92.05	3.2	21.9	40	32.04	19.21	26.12	27.945	91.98	31.41	65.01	51.365	32.65	20.17	-3.58	35.93	11.29	20.54	14.77	20.77	14.2	0.65	61.54	-2.1
242.09	803.85	310.38	68.775	504.8	16.19	127.135	67.09	252.655	232.87	217.52	19.925	197.9	130.495	189.345	179.97	106.03	35.58	74.725	-4.715	80.455	89.4267	16.93	126.55	87.03	70.735	22.81	112.07	46.64	40.17	249.01	79.68	108.72	147.12	29.555	111.17	46.44	320.42	109.97	122.38	88.62	107.8	281.5	96.37	128.35	18.82	-13.76	110.43	11.16	346.85	40.25	2.72	54.17	74.21	285.415	187.29	-33.38	63.26	129.1	249.88	83.7867	24.5575	2.24	137.755	93	50.13	41.87	153.35	61.6567	200.68	52.98	362.02	184.16	104.1	149.63	25.49	262.48	375.96	56.995	-4.645	-8.77	23.4	128.53	20.77	65.44	223.3	33.645	63.75	169.42	46.31	29.02	97.38	96.01	78.3	49.35	136.6	29.67	89.79	33.945	186.885	50.8	52.14	128.425	231.715	47.66	103.805	143.435	86.345	181.2	28.62	157.36	128.94	96.97	29.805	70.19	56.53	34.48	42.89	51.45	-9.97	-9.48	384.33	28.115	273.55	169.585	301.19	120.955	-1.31	119.69	90.16	25.55	38.44	16.66	-39.47	64.87	81.72	15.22	209.69	51.45
