COID1429	COID2260	COID3580	COID4385	COID4518	COID9794	COID10	COID11	COID12	COID13	COID14	COID16	COID18	COID3	COID4	COID5	COID6	COID7	COID8	COID9
21.08	29.72	-6.16	-11.9	55.82	35.61	-3.65	-9.29	-0.98	-12.88	40.87	-40.29	-47.56	29.82	-28.2	31.87	-25.46	26.9	60.27	-13.31
224.51	14.67	105.57	32.39	191.76	26.29	40.81	255.25	94.79	23.33	211.34	54.97	200.09	62.05	44.84	121.67	243.68	140.5	111.91	21.37
908.84	685.81	965.67	668.54	620.8	715.91	465.57	1218.65	1171.35	685.86	428.07	661.17	829.56	431.74	511.17	492.36	2148.22	324.65	976.11	535.06
472.81	246.55	393.9	249.85	316.27	232.87	183.96	373.8	473.25	334.62	212.19	269.07	369.75	300.86	355.15	176.39	543.57	198.66	308.26	293.44
-2.18	28.84	-21.71	61.91	55.17	40.94	25.39	-1.82	-10.85	-24.15	30.69	11.99	30.62	10.64	0.85	41.67	-0.34	22.57	47.81	-34.98
380.47	1499.86	398.01	259.17	210	866.04	447.69	1845.85	192.33	717.43	408.63	493.06	234.67	1186.43	457.75	265.42	975.8	1222.3	74.51	188.69
2574.8	1846.38	2733.07	1939.32	2999.3	2272.7	2587.69	1896.97	1697.66	1858.54	1938.95	1620.42	1887.38	1444.29	1455.86	1725.54	2373.05	2741.01	3346.61	1920.77
38.7	99.78	6.69	30.83	77.91	76.93	19.94	59.33	304	45.87	47.66	46.23	87.61	40.56	34.05	66.15	93.06	29.5	274.29	26.43
29.54	52.76	20.9	13.74	43.48	34.95	0.89	6.33	12.69	17.69	38.33	30.78	-0.42	26.75	-4.13	49.83	-1.06	15.63	24.69	-10.42
-14.87	12.89	-34.55	-17.34	90.25	22.3	-5.47	-27.63	-38.17	-16.1	11.18	46.23	-42.4	24.45	-14.09	49.01	-32.64	17.37	-5.54	-30.65
369.11	1557.61	481.78	131.05	214.56	1028.46	409.19	1666.17	238.17	621.08	305.39	92.63	110.97	901.46	540.4	251.54	965.46	1086.53	-23.31	141.53
-81.06	-160.3	-71.04	-171.95	-56.39	-118.43	-85.36	-138.97	-238.26	-161.64	-131.36	-143.26	-117.83	-152.46	-167.55	-180.18	-221.15	-156.58	-144.93	-124.47
88.8	166.42	142.22	85.99	221.08	181.89	72.55	96.04	404.63	152.2	79.9	157.35	120.05	105.85	102.98	144.54	70.06	108.39	382.5	119.79
981.96	909.51	932.2	494.8	1147.06	1059.13	1074.43	412.65	899.63	753.86	720.21	369.15	594.34	297.77	461.92	422.2	649.64	926.54	793.73	610.17
377.63	560.37	439.18	356.14	352.81	396.61	350.85	283.18	339.29	400.11	401.86	483.45	380.28	387.55	381.83	449.13	297.9	408.1	342.24	419.83
-24.02	10.24	-50.77	-6.46	24.01	-1.65	-19.08	1.57	-33.62	-40.23	1	-13.49	-23.68	-13.89	-10.77	0.86	-41.25	-19.01	-16.2	-29.2
-95.83	-119.71	-131.81	-64.73	-95.24	-103.19	-61.75	-100.96	-76.86	-104.57	-34.63	-95.16	-71.43	-95.08	-92.91	-54.61	-107.94	-83.93	-57.95	-102.11
11.91	-18.97	-39.96	26.95	72.71	-30.22	19.03	44.38	23.32	-25.75	62.93	66.39	-21.09	31.35	-22.39	30.24	0.38	-48.45	11.35	-64.58
1192.79	1388.73	1239.49	968.86	1244.49	1174.84	1681.49	945.66	1122.23	1225.05	1328.96	1133.18	921.92	733.71	775.9	869.05	1284.08	1366.92	1365.14	1132.46
1638.91	1207.98	1870.85	1280.91	2081.53	811.43	1832.65	1519.37	1469.96	1292.07	2022.99	1093.58	1452.82	1298.74	1172.35	1423.38	1548.38	2070.98	1721.29	1287.17
21.78	51.88	-12.24	8.3	62.96	47.6	9.96	-3.18	-16.92	8.84	76.5	9.31	0.23	14.48	-13.26	43.3	4.69	30.36	21.13	-8.26
1543.05	466.33	1935.71	936.87	499.61	1237.31	834.23	1446.13	703	1102.45	329.95	599.04	1282.28	619.12	202.74	431.99	2253.95	221.24	782.99	604.28
61.27	50.1	92.01	11.41	320.84	108.3	12.68	62.05	1158.67	2.4	68.87	-14.83	204	-23.09	-17.41	21.26	307.31	23.43	1550.37	-19.09
54.22	101.55	43.24	37.83	124.72	46.93	52.6	25.35	-16.16	21.72	83.29	59	18.97	42.1	55.64	66.15	6.84	102.32	19.35	16.31
1983.08	1323.17	1851.68	1647.45	1921.06	1559.07	2433.36	1656.95	1434.2	1594.99	1572.31	1344.46	1230.92	1154.6	1286.81	1860.32	1628.14	2525.3	2086.87	1222.48
45.76	47.44	165.31	14.52	42.83	66.26	-8.19	17.2	3.57	-15.3	58.69	15.35	21.56	70.5	-38.16	34.32	42.03	19.1	49.59	-16.2
146.01	176.2	125.93	58.8	253.01	218.1	87.96	156.57	135.9	94.99	224.91	98.69	190.96	207.46	109.63	129.84	180.91	178.69	116.37	127.76
128.34	95.34	116.43	431.32	200.88	183.23	153.19	115.76	83.37	506.11	240.16	275.19	109.02	331.8	152.01	249.9	162.89	130.95	70.95	130.66
124.1	237.64	130.68	82.11	228.24	183.23	86.15	100.8	481.74	110.29	119.76	145.2	194.87	93.55	98.83	110.24	151.36	89.31	658.45	112.54
221.68	248.33	153.76	329	426.54	206.69	190.29	345.17	81.85	168.33	252.02	717.2	421.83	344.95	350.14	320.96	193.16	409.84	132.4	198.86
38.7	75.82	77.1	51.81	105.21	80.27	54.41	70.21	58.28	37.01	56.14	48.92	41.62	34.42	14.13	67.79	75.81	40.76	73.62	21.37
57.04	74.93	32.41	24.62	79.85	122.33	19.03	52.53	33.2	25.74	56.14	38.84	29.32	53.61	18.28	79.22	14.74	36.43	70.06	31.49
-2.89	40.35	-18.33	-30.54	46.08	40.27	-5.47	14.48	-28.31	-36.21	20.51	1.93	-23.68	-20.79	-1.64	43.3	-25.46	4.37	6.02	-2.48
812.16	835.34	597.58	997	436.98	920.65	588.3	832.02	1518.42	1257.79	593.39	818.41	816.77	563.06	565.45	801.18	911.56	428.96	1118.57	858.08
618.61	1363.42	902.23	1036.47	477.43	1095.24	566.15	601.58	1347.58	1045.36	903.02	1669.8	733.45	723.57	850.15	707.18	643.78	784.45	677.27	667
218.14	50.1	295.39	64.24	133.17	104.29	43.53	379.93	128.29	64.38	131.64	87.92	114.21	121.99	90.52	56.36	312.38	108.39	185.01	67.65
1690.35	1164.7	1854.42	1307.71	1105.09	1838.89	777.01	1746.85	2078.43	2342.84	1294.95	1510.1	2325.31	2362.62	2138.6	1543.35	2075.49	1040.46	2083.55	1633.98
6.27	26.18	-3.45	12.97	69.46	32.28	6.33	-0.46	-0.98	22.52	28.15	-6.12	-0.42	7.57	-4.96	43.3	4.69	21.7	17.58	13.42
-31.07	-11.89	-35.9	-9.57	11.68	-13.61	-5.47	-14.73	-44.24	-36.21	22.21	-22.87	-37.23	-27.69	-42.3	16.37	-32.64	-10.35	-15.31	-14.04
123.4	8.47	255.82	57.25	42.83	40.27	-31.79	399.7	48.4	-16.1	13.73	124.29	96.04	16.78	-8.28	31.87	2863.5	-7.75	138.64	-61.69
139.65	169.09	157.16	107.74	176.78	179.21	91.59	134.8	85.66	113.52	135.88	98.02	136.3	158.92	137.88	182.11	111.77	90.18	187.69	121.23
372.66	202.01	545.14	140.37	882.01	486.66	47.16	921.86	2877.69	96.6	148.6	112.84	287.66	86.63	23.26	175.57	1604.02	60.7	5675.3	202.49
177.11	95.34	366.5	99.2	896.19	416.9	52.6	948.38	3109.23	38.62	76.5	61.02	283.73	59.75	44.01	129.02	1660.98	28.63	5955.76	121.23
341.44	179.76	512.06	159.78	919.38	607.59	38.99	1062.43	2990.94	94.18	113.83	160.05	394.12	70.5	81.38	157.61	1859.65	59.83	6117.54	215.57
10.5	54.54	-14.95	2.87	46.73	32.95	1.79	-3.86	-16.92	-4.84	27.3	1.93	-10.76	4.51	0.85	56.36	-19	4.37	29.14	-18.37
5.57	125.53	48.65	37.05	61.66	53.6	30.83	71.56	84.9	35.4	60.39	253.46	14.45	33.65	40.69	135.56	8.99	19.97	134.19	18.48
16.85	119.31	2.63	47.93	64.91	68.26	17.22	8.37	33.2	-1.62	48.51	26.76	-10.76	27.52	4.17	67.79	-6.8	16.5	55.82	1.86
16.14	58.08	-2.78	9.08	54.52	24.96	10.87	7.01	-0.22	8.84	34.93	18.7	-5.59	16.01	4.17	56.36	-8.95	14.77	39.81	0.41
512.62	1345.93	582.39	1084.92	444.16	818.94	567.04	652.06	805.42	791.89	493.1	923.29	862.57	945.93	839.31	1350.77	698.78	467.2	659.35	849.92
10.5	60.74	1.28	-1.02	78.56	46.93	8.15	28.75	-0.98	14.48	32.39	22.06	-5.59	33.65	10.81	46.56	8.28	16.5	59.38	-0.31
416.68	462.75	489.35	268.48	275.18	434.49	240.91	345.85	657.01	532.01	244.4	391	403.35	559.17	534.55	426.28	459	344.64	470.25	389.09
19.67	77.59	23.61	31.61	74.66	63.59	24.48	-3.18	6.61	44.26	54.45	54.29	26.09	26.75	14.13	85.75	-10.39	22.57	127.06	24.26
60.57	141.52	87.27	40.16	84.4	62.93	47.16	37.58	59.8	76.46	65.48	78.5	35.79	72.81	35.71	80.03	37	63.3	71.84	37.27
-527.05	-980.06	-735.37	-320.35	-545.68	-868.43	-426.05	-354.02	-519.14	-636.38	-356.2	-769.47	-632.78	-511.42	-414.6	-453.91	-412.29	-428.72	556.27	-623.14
211.07	308.1	211.55	179.97	234.11	166.48	172.2	141.6	261.88	178.81	357.88	189.79	217.7	187.42	206.9	252.35	114.65	269.03	160.04	278.87
106.45	155.75	50.01	118.62	153.34	163.13	96.12	72.24	75.77	91.77	127.4	68.41	57.15	112.76	112.95	187.01	39.88	96.25	116.37	48.12
35.88	101.55	39.17	26.17	143.58	87.61	58.95	26.71	14.97	41.84	90.92	40.19	15.09	50.54	44.84	66.15	8.99	72.84	83.41	53.91
-18.39	-32.24	-29.82	-30.54	29.2	-42.18	-22.71	-12.69	-65.48	-32.19	1.85	-57.69	-46.91	-1.63	-34.84	10.65	-26.89	2.64	-26.86	-63.86
917.36	886.29	623.84	805.37	487.21	919.97	664.18	799.32	629	581.4	549.6	405.36	1034.76	773.5	1019.94	801.99	663.57	577.49	520.43	1107.9
