NL1179	NL1675	NL1698	NL1884	NL2378	NL2562	NL268	NL279	NL3104	NL3681	NL4083	NL4353	NL504	NL6084	NL6853	NL6943	NL7530
59.09	53.43	97.02	-31.39	377	7.54	8.59	37.83	9.4	7.09	8.91	-1.68	-22.14	52.9	5.31	21.57	74.79
551.37	457.34	357.61	398.94	573.85	465.46	613.24	751.33	628.16	547.27	578.86	436.98	547.67	573.86	533.53	566.17	540.97
4577.53	4214.01	4500.15	4255.34	3588.22	3841.03	2020.05	3013.65	4022.25	4142.02	3537.61	4447.61	4564.53	4216.31	3096.3	3603.67	3852.35
1039.84	1226.05	1061.63	1098.45	1060.78	900.51	1145.21	1106.63	981.68	980.81	1039.67	1038.11	1038.84	1040.33	1042.02	1072.04	1205.34
0.71	-25.38	53.85	-25.24	-26.1	-36.1	-4.71	39.68	-18.6	-26.91	-17.8	-40.93	-11.89	11.52	2.84	13.66	8.21
3552.16	2107.91	3797.71	619.65	1040.29	1894.72	4938.94	2810.27	3186.15	2704.57	1221.98	2943.63	1905.76	1900.89	3783.99	5168.99	1883.49
2113.08	2084.85	1721.55	2379.48	2445.55	2294.69	2677.59	2344.71	1950.2	2420.84	2034.88	2061.94	2272.81	2132.18	2447.71	2057.85	2924.73
355	888.97	341.36	140.03	2006.5	161.54	144.98	156.21	160.43	205.63	133.69	427.3	67.26	430.13	155.69	62.7	769.19
-6.05	-8.49	63.44	-12.15	-12.46	-1.35	17.45	28.58	29.42	2.84	13.08	-7.96	20.87	0.49	2.84	-0.58	46.65
8.32	26.9	110.45	-30.62	-16.72	62.53	24.54	71.11	42.24	1.99	59.9	-13.45	38.61	58.42	14.35	48.46	56.03
4279.77	1538.37	3740.28	586.56	659.86	1518.84	6221.36	3339.19	3146.48	2713.3	799.62	3150.95	1508.63	1904.71	4283.18	7031.28	2365.21
-88.76	-72.06	9.7	-153.65	-67	-122.97	-44.63	-96.15	-116	-94.04	-98.63	-81.77	-73.4	-89.52	-104.83	-96.25	-93.96
679.28	610.81	896.37	708.23	955	1043.98	324.24	668.83	859.19	1126.26	1568.12	1484.71	1087.17	1028.73	1026.3	1118.42	1101.98
772.53	752.89	870.08	985.24	850.72	684.78	1727.3	1062.57	1066.94	799.41	869.06	768.11	689.94	874.62	711.92	865.36	1378.47
314.13	228.57	241.79	306.71	251.08	285.88	379.74	249.72	285.25	259.57	225.54	242.95	272.69	230.07	232.96	195.7	219.3
-11.96	-34.23	40.41	-53.71	-11.61	-28.72	-21.57	-24.09	-21.8	-15.86	-19.47	-14.24	-7.11	-11.46	-20.17	-25.09	-0.23
