SQ1174	SQ1670	SQ2557	SQ2572	SQ2921	SQ3197	SQ3529	SQ3624	SQ4172	SQ4389	SQ5897	SQ6147	SQ7324	SQ10	SQ13	SQ14	SQ20	SQ4	SQ5	SQ6	SQ8
474.08	27.79	145.74	38.51	200.52	155.44	65.81	42.67	284.9	27.82	22.93	421.79	266.81	33.15	61.89	11.58	-6.73	29.82	14.74	17.42	62.86
83.92	104.96	100.83	113.15	238.9	188.54	118.92	154.28	121.99	55.36	505.82	108.84	256.24	151.3	135.53	69.06	57.12	143.54	181.98	78.59	186.58
2213.75	4973.37	4930.59	3179.59	4143.09	4780.58	2545.38	4822.21	3857.91	4095.72	3234.42	2911.88	5057.23	1999.85	5289.17	4946.75	4941.75	4347.77	4001.15	1148.67	4776.53
637.09	1468.07	1319.16	1540.25	930.29	1194.4	2146.99	780.93	1728.17	819.22	1431.6	812.21	1024.86	1143.41	1135.06	851.85	1255.86	618.18	931.62	642.08	996.95
378.79	223.07	305.45	138.58	72.1	10.15	204.13	276.95	214.38	33.07	13.87	90.51	-74.36	3.23	150.75	412.01	157.59	264.81	190.48	-31.85	168.72
193.15	192.14	247.51	153.55	268.37	274.72	156.28	120.36	0.32	301	106.12	66.07	107.84	106.78	662.23	225.55	2074.34	1354.24	256.24	45.81	173
2357.94	3015.83	3228.09	3086.02	2753.76	3283.29	3358.41	2861.37	2888.62	3530.1	2286.49	3306.51	2176.56	4591.08	3157.36	3153.91	2085.05	3810.01	2669.06	4109.68	2824.58
1960.21	149.25	911.93	629.8	753.38	1266.58	290.75	393.7	1086.64	141.52	311.87	2316.99	1032.39	174.78	773.09	289.9	61.11	319.96	72.85	52.11	645.78
-3.33	-0.66	2.49	-9.93	-0.17	4.81	-10.84	5.17	-7.85	44.87	11.6	26.84	28.15	18.6	10.08	-2.56	26.53	16.85	-7.19	-9.73	-26.23
25.06	-16.39	35.43	-27.06	102.42	24.38	-27.41	46.58	15.02	105.29	-33.67	30.33	36.91	13.74	-2.15	-7.85	149.6	22.61	-42.66	-35.65	-27.65
166.9	51.76	147.3	101.94	134.52	170.64	74.51	64.59	77.08	258.89	39.54	-52.38	35.15	29.92	597.52	200.26	2132.69	1453.89	112.35	-14.78	58.61
-34.88	-68.08	-87.58	-108.22	-75.18	-53.86	-98.33	-99.91	-21.74	-127.2	-95.48	-80.2	-60.33	-115.62	-78.4	-96.76	-91.28	-122.33	-67.82	-85.66	-93.41
73.41	48.01	193.29	76.55	313.05	403.15	128.45	343.17	126.89	146.8	68.27	45.15	58.8	112.44	75.59	282.34	55.79	42.07	38.62	28.15	118.16
770.38	1384.01	1204.99	1297.01	987.47	1275.38	2204.45	1140.42	1376.18	1742.2	1195.14	1505.41	1339.85	1222.08	1348.21	1284.43	1297.84	1435.32	1367.85	1511.2	1459.86
452.1	363.08	534.27	390.07	353.32	313.48	570.28	606.41	453.42	512.05	395.94	546.13	383.62	571.74	334.19	470.84	508.08	368.84	403.93	650.66	475.71
-21.2	-46.35	-56.32	-31.53	-20.7	-22.75	-43.18	-33.02	-47.89	-19.97	-37.44	-21.92	-20.02	-14.56	-23.73	-17.26	-27.36	-25.57	-44.6	-39.44	-0.79
-42.24	-90.56	-43.35	-36.74	-38.56	22.6	-56.58	-54.82	-7.85	-48.1	-55.53	18.13	-9.51	-70.35	-76.24	-97.93	-47.32	-74.35	-89.11	-52.09	-65.12
96.53	170.3	244.35	331.44	173.76	11.93	181.78	116.42	35.44	171.24	255.58	91.38	-57.7	-19.41	181.98	153.22	50.47	196.93	284.75	87.41	186.58
1256.41	1856.42	1808.31	1411.77	1475.71	1793.15	2223.64	1535.12	1830.44	2329.37	1893.64	2590.6	1120.29	3417.11	1870.07	1835.75	1667.45	1826.84	1543.62	2081.77	2043.96
1417.36	2026.77	1240.31	1536.68	1901.37	2023.82	1445.87	1574.55	1693.57	2326.17	1233.91	1507.22	1410.07	1935.23	1948.19	1391.67	1668.18	1898.29	1552.8	2314.93	1789.88
489.78	251.81	158.18	244.46	114.9	74.24	132.42	200.25	298.87	56.02	-13.3	31.2	19.39	4.85	262.43	220.6	240.35	224.14	284.08	-21.1	108.93
883.42	1257.24	1551.84	1004.75	1297.2	1777.3	1466.92	897.92	1906	740.96	1587.39	716.91	1895.19	900.99	1091.01	1449.33	998.23	1731.74	2289.44	489.87	972.95
3685.14	672.39	2743.07	1590.56	2258.48	2737.92	1528.43	1734.84	2865.17	606.85	1595.85	3784.49	2634.61	562.83	1738.88	899.79	202.27	1206.84	440.28	427.98	1515.28
-22.26	-47.85	-49.46	-37.48	-25.16	-30.75	-42.39	-26.79	-46.26	-22.59	-41.21	-11.48	-38.42	-21.03	-51.78	-30.17	-50.65	-54.27	-40.08	-29.95	-40.37
2006.88	3468.71	2615.04	2499.61	2236.35	2462.59	2786.59	3223.21	2479.94	2815.31	2483.22	2507.41	2155.37	2450.21	3027.78	2301.94	1496.68	2712.66	2552.51	2365.8	2421.58
6.14	-23.13	5.55	7.95	-16.23	27.94	-5.32	8.29	24.01	14.07	-11.79	4.2	420.11	6.46	31.66	6.86	-16.04	175.67	-26.54	62.2	-35.42
-17	-11.9	-12.8	16.15	-18.91	-9.42	-3.74	-16.66	-20.1	-3.61	-20.09	5.94	-17.39	-0.01	-2.87	2.15	18.55	-2.57	-11.71	-0.26	-29.77
-14.9	-33.62	-34.96	-41.95	-24.27	-34.31	-29.77	-12.77	-11.12	-10.81	-35.17	11.16	-44.55	-27.5	-30.92	-15.49	-24.7	-10.48	-28.47	-38.81	-30.47
2838.76	476.84	1963.2	1246.37	1357.19	2259.55	968.18	1186.93	2229.21	356.79	759.82	3210.53	1907.79	423.51	1052.42	585.58	150.27	715.31	235.78	259.06	1023.67
-23.31	-21.63	-37.25	-24.82	-25.16	-11.19	-13.21	-8.09	3.59	-0.99	-14.81	-19.31	-13.89	-0.01	-22.29	23.38	-24.7	-10.48	-4.61	-20.47	-27.65
49.24	79.47	141.08	86.26	100.64	111.68	65.81	129.03	108.11	116.48	60.7	79.16	57.92	80.88	78.47	41.73	140.28	61.56	75.44	54	49.41
7.19	13.56	32.36	54.17	24.82	52.86	31.8	39.54	31.35	56.02	28.97	46.02	30.78	76.03	59.73	6.27	247.04	29.82	44.43	11.74	25.37
10.34	-17.89	-31.14	-21.1	0.73	8.37	-21.89	-14.32	-19.29	-27.17	-8.77	-5.38	-2.5	-21.84	-4.31	-5.5	-30.68	-22.69	9.58	-38.81	-32.59
1395.36	1615.13	1318.2	1847.74	1360.95	1222.65	1772.77	1560.12	1312.99	1144.91	1761.54	1549.62	1638.18	1797.16	1089.29	1296.7	1125.37	1484.65	1789.29	1926.19	1834.88
1554.31	1259.97	814.02	1141.24	901.76	726.93	1278.05	1328.92	908.04	975.81	1409.41	1177.62	1050.3	1392.6	900.56	1306.54	1172.9	1012.95	612.36	888.54	1385.44
268.7	230.63	253.83	329.17	283.56	448.7	287.53	248.09	737.04	258.89	470.82	248.08	487.14	411.35	381.29	181.86	283.21	302.76	363.84	88.04	209.52
1160.89	3309.07	2687.43	2163.17	1891.8	1708.97	1285.26	2360.43	1905.03	2592.31	3604.52	1436.75	2571.45	1210.18	2558.38	1764.2	2703.99	1266.98	2785.25	1401.78	2197.02
182.65	158.27	73.08	19.87	14.11	11.04	95.91	81.06	70.55	15.38	8.58	51.25	-31.41	5.66	16.55	320.96	45.81	60.12	60.57	-13.52	51.54
8.24	-19.39	0.2	-21.84	-25.16	-10.31	-0.58	-23.68	-16.84	-10.81	-13.3	3.33	-11.26	4.04	-23.73	-13.73	-18.71	-1.13	-18.16	38.87	-23.4
68.15	453.46	635.92	50.44	1564.49	567.05	80.85	155.07	542.78	23.24	182.12	52.12	184.13	-29.12	187.8	99.54	155.6	340.21	175.45	-13.52	182.29
122.79	65.99	110.1	203.82	71.21	96.52	103.04	140.86	81.16	107.92	71.29	156.04	106.09	156.97	120.34	103.73	45.81	94.85	70.91	96.86	86.94
5666.69	4168.08	6476.25	3340.81	5823.56	6569.67	3666.13	4836.86	5185.79	2287.69	3885.94	6163.69	5133.47	3009.65	3353.74	1303.26	741.35	4922.68	3552.64	1666.89	3340.27
5348.54	3388.74	6334.01	3530.76	5971.46	6184.15	4555.72	4236.64	5176.6	2426.27	3774.83	5544.39	4871.17	3023.75	3872.32	1609.63	606.59	5673.83	2985.97	1928.47	3772.95
